id,DIAC1_2,DIAC1_3,DIAC4_1,DIAC5_1,ANT2_1,CLIM1_3,CLIM2_5,TFV_G11_GROUP,LITH1_1,LITH2_2,LITH4_2,DEM1_1,DEM2_4,DEM4_1
398,0.368,13.222,2.829789609,208.8,0,-4.479600333,-11.11111111,Feuillus,6.64E-10,8.35E-12,8.35E-12,1794,34,253
244,0.174,1.574,0.7533206626,233.2,0,2.158986878,-11.47540984,Feuillus,0.6931471808,8.35E-12,8.35E-12,1683,34,175
689,0.317,6.717,5.662059446,77,0,-2.408526351,-7.608695652,Feuillus,0.6664483267,0.002103013065,8.35E-12,1456,28,129
25,0.142,3.352,5.088497953,43,0,16.47777451,-11.68831169,Conifères,0.8515836828,0.096298536,0.9037024249,2111,37,290
18,0.033,-0.372,1.945674888,-30.8,693.0467696,16.64787144,-14.08450704,Conifères,1.03473487,0.5704929953,0.4295068293,2175,14,172
618,0.046,-0.035,1.437796109,-45.4,226.4907253,18.58736059,-24.59016393,Conifères,1.019927747,0.3602481158,0.6397544996,2315,25,272
619,0.071,1.042,3.158394231,-10.4,561.0417969,14.21493371,-14.28571429,Conifères,1.01192974,0.3348570751,0.6651428414,2292,31,193
357,0.023,0.195,3.348807668,1,0,14.99823882,-18.30985915,Conifères,1.039513143,0.5144071449,0.4855926796,2155,18,206
622,0.07,0.822,1.320061183,52.8,1091.834954,13.86268657,-17.1875,Conifères,1.032674223,0.4162581181,0.583734972,2304,26,200
366,0.034,0.553,4.378398786,0.4,316.8255704,12.00788614,-20.58823529,Conifères,1.035475774,0.5650565486,0.4349409282,2063,16,197
367,0.025,-0.428,4.724096051,-4.6,100.9519293,10.85656103,-18.84057971,Conifères,0.7403079756,0.01905079871,0.9809511145,2258,41,132
524,0.106,1.125,10.15466075,180.6,394.133724,11.60132357,-9.009009009,Conifères,0.8205366091,8.35E-12,0.06992890394,1732,38,266
308,0.097,0.128,3.302941668,60.2,563.6623523,15.11044177,-13.88888889,Conifères,0.6931471808,8.35E-12,1.00000406,2097,32,91
495,0.075,-0.166,1.930804215,26.6,554.083894,15.17741704,-15.27777778,Conifères,0.6931471808,8.35E-12,1.000014136,2002,38,118
507,0.201,0.484,3.237997509,-10.8,0,4.53167947,-16.41791045,Conifères,0.9943721546,0.2903333982,0.7096669777,1881,23,104
305,0.164,3.068,4.131119223,123.6,1157.284417,18.26741996,-14.49275362,Conifères,0.6931471808,8.36E-12,0.9999985796,1905,30,220
604,0.094,1.39,1.68168804,222,1247.59643,18.38994565,-14.49275362,Conifères,0.6931471808,8.35E-12,1.000011304,2005,26,245
376,0.134,1.65,2.583144529,0.6,96.04283325,5.215164574,-22.3880597,Conifères,0.6931471808,8.35E-12,0.9999975188,2189,30,126
374,0.149,0.258,3.122677399,26.2,0,6.00024667,-21.42857143,Conifères,1.011933374,0.007742638309,0.7102918192,1981,29,127
375,0.052,-0.503,8.458694401,124.6,36.2292449,2.783993682,-19.71830986,Conifères,0.7721476223,0.03691134523,0.9630874267,2018,28,281
325,0.072,0.195,1.374258461,11.4,58.8365671,8.839359647,-16.92307692,Conifères,0.8547202242,0.09888937368,0.8917615257,2005,21,205
496,0.241,4.975,3.613849345,23,0,5.523590334,-14.1025641,Conifères,1.039089501,0.5251279797,0.4748740837,1882,17,241
600,0.126,-0.26,10.23243466,-2,909.3338434,8.211904174,-17.54385965,Conifères,0.6931471808,8.35E-12,0.9999998329,2086,29,187
499,0.276,10.92,4.399408625,8.8,123.5625845,0.1868247908,-15.27777778,Conifères,0.6931471808,8.35E-12,1.000001846,1836,22,101
503,0.231,1.136,3.096453367,60,150.5160749,3.048320911,-14.1025641,Conifères,0.6931471808,8.35E-12,1.000001988,1913,27,106
497,0.233,1.075,5.182137554,2,0,3.593253483,-14.66666667,Conifères,0.6931471808,8.35E-12,1.000001687,1930,15,47
